,Date,First Pass Letter Accuracy,First Pass Word Accuracy,Second Pass Letter Accuracy,Second Pass Word Accuracy,S_Pass Time Taken,S_Pass Call Count
0,07/20/2023,93.44,79.49,95.63,83.33,2335.131684780121,5624.0
1,07/27/2023,97.84,92.31,100.0,100.0,200.02485823631287,6011.0
2,07/29/2023,100.0,100.0,100.0,100.0,,
3,08/05/2023,100.0,100.0,100.0,100.0,,
4,08/13/2023,99.72,98.51,100.0,100.0,158.1043574810028,6312.0
5,08/17/2023,97.85,91.03,100.0,100.0,238.00237679481506,6718.0
6,08/18/2023,96.3,90.28,100.0,100.0,1004.0551571846008,8232.0
7,08/30/2023,95.7,83.33,98.92,94.87,428.6408245563507,9032.0
8,09/01/2023,99.49,97.22,100.0,100.0,98.66848468780518,9226.0
9,09/08/2023,98.46,91.67,99.49,97.22,274.49171686172485,9776.0
10,09/15/2023,97.89,90.32,100.0,100.0,358.20113372802734,10576.0
11,09/16/2023,99.48,96.97,100.0,100.0,65.03007483482361,10726.0
12,10/04/2023,95.11,83.33,95.65,84.62,125.7692596912384,10943.0
13,11/22/2023,100.0,100.0,100.0,100.0,,
14,11/23/2023,98.92,95.83,100.0,100.0,359.8693063259125,11651.0
15,11/25/2023,97.38,91.18,100.0,100.0,184.78754043579102,12003.0
16,12/02/2023,99.49,97.14,100.0,100.0,136.2059028148651,12295.0
17,12/03/2023,100.0,100.0,100.0,100.0,,
18,12/08/2023,99.45,96.77,100.0,100.0,207.48235726356506,12682.0
19,12/09/2023,98.97,95.59,98.97,95.59,370.98363876342773,13515.0
20,12/10/2023,98.89,95.71,100.0,100.0,870.5597603321075,14953.0
